latitude,longitude,link_length_km,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles,road_name
51.51822846,-0.00986592,2.1,55.5,800.0,37776.0,224.5,9100.5,2431.5,50332.0,A12
51.53164548,-0.0183642,0.5,26.0,1058.5,39324.5,319.5,9083.5,2503.5,52289.0,A12
51.53335971,-0.0218944,0.3,26.0,1058.5,39324.5,319.5,9083.5,2503.5,52289.0,A12
51.538284999999995,-0.026006900000000003,1.0,0.5,1084.0,36206.0,147.5,9605.5,2088.0,49130.5,A12
51.54282165,-0.02840645,0.4,0.5,1084.0,36206.0,147.5,9605.5,2088.0,49130.5,A12
51.547911799999994,-0.03003257,1.1,0.5,850.5,31353.5,163.0,8744.5,1129.0,42240.0,A12
51.55148718,-0.01966567,0.1,0.5,1510.0,35661.0,289.5,9622.0,2685.5,49768.0,A12
51.55823239,-0.00379204,3.9,0.5,1510.0,35661.0,289.5,9622.0,2685.5,49768.0,A12
54.96436788,-1.45488511,3.5,40.5,46.0,9701.5,28.5,1679.0,178.0,11634.0,A1300
51.48632138,0.25262669,1.5,18.5,82.0,4105.0,35.5,1149.0,887.5,6258.5,A1306
51.48797937,0.26924522,0.6,27.0,167.0,13260.0,112.5,2248.0,1259.0,17046.0,A1306
51.49360829,0.30340937,3.4,78.5,86.0,11847.5,72.5,1394.5,810.5,14210.5,A1306
51.49724618,0.23155374,1.7,8.0,101.5,6417.5,24.0,1798.5,1438.5,9779.5,A1306
51.51135833,0.22244312,2.5,26.0,56.5,6809.0,20.5,1150.0,655.0,8691.0,A1306
51.48946643,0.26675491,0.6,0.0,39.5,3536.5,4.5,997.5,1711.0,6289.0,A13
51.49140092,0.24567415,3.2,0.0,597.5,27266.5,66.5,8533.5,4161.0,40626.0,A13
51.49450671,0.30345467,1.9,0.0,434.0,24893.0,50.0,7239.0,5123.5,37739.5,A13
51.49454022,0.26945583,1.2,0.0,216.0,12646.0,24.5,3934.0,3914.5,20735.0,A13
51.49680971,0.27763689,1.7,0.0,723.5,33195.0,66.5,8530.0,5984.0,48498.5,A13
51.50120299,0.21733808,3.5,0.0,965.0,26776.5,47.0,8774.5,5466.5,42030.0,A13
51.51130434,-0.00987947,0.2,221.0,1350.5,17817.5,438.0,4232.5,851.5,24690.0,A13
51.51163,-0.02658293,1.3,250.0,774.0,8623.0,473.0,1992.5,279.5,12142.0,A13
51.5116925,-0.006259600000000001,0.6,155.5,591.0,19010.5,281.0,4937.5,1202.5,26023.0,A13
51.51252597,-0.03432668,0.8,325.5,857.5,10915.5,552.5,2836.5,339.0,15501.5,A13
51.51279312,-0.04008002,0.2,527.5,1232.5,8865.5,565.0,1897.5,700.0,13261.0,A13
51.51372158,0.00132347,0.2,265.5,649.0,20904.5,282.0,5791.5,1737.5,29364.5,A13
51.51429997,-0.05442788,2.1,404.5,1124.0,9057.5,479.5,2331.5,605.0,13596.5,A13
51.51440849,0.00322723,0.2,116.5,2014.5,47157.5,462.0,11924.0,3496.0,65053.5,A13
51.51481755,0.0050756,0.3,116.5,2014.5,47157.5,462.0,11924.0,3496.0,65053.5,A13
51.51688215,0.01630789,1.7,191.5,1434.0,46275.5,224.0,11847.5,2679.0,62459.5,A13
51.520157399999995,0.04528165,2.0,156.5,1418.0,50572.0,182.0,11935.5,3646.5,67754.5,A13
54.94175832,-1.46299581,0.6,74.0,82.0,13781.0,81.0,1896.0,227.0,16067.0,A184
54.94197224,-1.47079792,0.5,7.5,76.5,11413.0,48.0,1642.5,273.5,13453.5,A184
54.94244249,-1.45518163,2.4,34.0,38.5,6500.5,38.0,894.0,107.0,7579.0,A184
54.94426067,-1.50198948,2.8,32.5,101.0,14395.0,115.0,2670.0,513.5,17795.5,A184
54.94583698,-1.51627004,0.2,28.0,101.5,15836.0,123.5,2728.5,588.5,19378.0,A184
54.94649867,-1.52225697,0.4,27.5,101.5,15836.0,123.5,2728.5,588.5,19378.0,A184
54.94654408,-1.53396518,0.4,5.0,109.5,15055.5,145.5,2379.0,597.0,18286.0,A184
54.94669972,-1.52771869,0.5,8.0,114.5,14624.5,116.5,2155.5,506.0,17517.0,A184
54.95651547,-1.53306908,1.7,47.5,39.0,4154.5,82.5,642.5,70.5,4989.5,A185
54.96968169,-1.52182581,4.8,84.5,52.0,6762.0,35.0,968.5,126.5,7944.0,A185
54.97658855,-1.45471966,1.8,147.5,71.0,7962.5,51.5,1496.0,363.5,9945.5,A185
54.99039229,-1.53267611,0.3,40.0,9.0,1729.5,186.0,296.5,58.5,2279.5,A186
54.98805597,-1.53270324,0.7,56.5,53.5,5253.5,10.5,1218.5,267.5,6804.0,A187
54.99027218,-1.52486319,0.9,65.5,53.0,3936.5,11.0,1300.0,414.0,5715.0,A187
